Id,Year,Month,Day,Hour,Minute,Second,Country,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Injuries,Damage ($Mil),Houses Destroyed
10133,2015,3,29,23,48,31,PAPUA NEW GUINEA,PAPUA NEW GUINEA,-4.729,152.562,41,7.5,6,,,,
10134,2015,4,25,6,11,26,NEPAL,NEPAL:   KATHMANDU; INDIA; CHINA; BANGLADESH,28.231,84.731,8,7.8,8,8957,24000,6000,498852
10135,2015,2,19,13,18,32.8,VANUATU,VANUATU ISLANDS,-16.431,168.148,10,6.4,,,,,
10136,2015,4,20,1,42,58.4,TAIWAN,TAIWAN:  TAIPEI,24.203,122.316,29,6.4,5,1,1,,
10137,2015,3,8,20,47,27.4,SERBIA,BALKANS NW: SERBIA:  KOSJERIC,44.126,19.936,9,4.4,4,,,,
10139,2015,5,5,1,44,6.4,PAPUA NEW GUINEA,PAPUA NEW GUINEA,-5.462,151.875,55,7.5,7,,,,
10140,2015,5,2,16,50,43,JAPAN,JAPAN:  HONSHU:  S. OF,31.529,140.213,10,5.7,,,,,
10141,2015,5,12,7,5,19.7,NEPAL,NEPAL:   DOLAKHA,27.809,86.066,15,7.3,8,117,2800,,
10143,2015,5,30,11,23,2.1,JAPAN,JAPAN:  BONIN ISLANDS [CHICHIJIMA ISLAND],27.839,140.493,664,7.8,6,,12,,
10145,2015,7,24,20,59,54.1,PAKISTAN,PAKISTAN:  ABBOTTABAD,33.856,73.193,17,5.1,7,3,1,,3
10146,2015,7,18,2,27,33.8,SOLOMON ISLANDS,SOLOMON ISLANDS,-10.401,165.141,11,7,8,,,,
10147,2015,7,10,4,12,42.5,SOLOMON ISLANDS,SOLOMON ISLANDS,-9.307,158.403,12,6.7,4,,,,
10148,2015,8,7,1,25,2.5,RWANDA,RWANDA:  BUKAVU,-2.141,28.897,11,5.8,5,3,30,,
10149,2015,7,27,21,41,21.7,INDONESIA,INDONESIA:  PAPUA,-2.629,138.528,48,7,7,1,,,1
10150,2015,7,29,0,10,24.7,PANAMA,COLOMBIA-PANAMA:  COLOMBIA:  UNGUIA,8.231,-77.315,12,5.9,5,,6,,
10151,2015,6,4,23,15,43.9,MALAYSIA,"MALAYSIA:  SABAH:  LAHAD,DATU,KANAK",5.987,116.541,10,6,7,18,,,
10152,2015,7,3,1,7,47.3,CHINA,CHINA:  S. XINJIANG:  HOTAN,37.459,78.154,20,6.4,4,3,263,,3000
10153,2015,6,28,1,5,28.6,INDIA,INDIA:  KOKRAJHAR,26.638,90.41,26,5.1,7,,2,,
10156,2015,9,16,22,54,32.9,CHILE,CHILE:  CENTRAL,-31.573,-71.674,22,8.3,9,7,14,600,2305
10157,2015,7,27,4,49,46.4,USA,ALASKA,52.376,-169.446,29,6.9,4,,,,
10158,2015,9,24,15,53,27.7,INDONESIA,INDONESIA:  SORONG,-0.621,131.262,18,6.6,6,,62,,
10159,2015,10,26,9,9,42.6,AFGHANISTAN,AFGHANISTAN: HINDU KUSH,36.524,70.368,231,7.5,7,399,1770,109,29230
10160,2015,10,17,11,33,9,ARGENTINA,ARGENTINA:  GALPON,-25.467,-64.484,17,5.8,7,2,30,,15
10161,2015,11,7,6,58,30.3,VENEZUELA,VENEZUELA:  MERIDA,8.467,-71.396,15,5.3,5,1,,,33
10162,2015,11,11,1,54,38.6,CHILE,CHILE:  LA SERENA,-29.507,-72.007,12,6.9,7,,,,
10163,2015,11,13,20,51,31,JAPAN,JAPAN:  KYUSYU ISLAND,31.001,128.873,12,6.7,5,,,,
10164,2015,11,17,7,10,7.3,GREECE,"GREECE:  LEFKADA, KEFALONIA, ITHACA",38.67,20.6,11,6.5,7,2,8,,1
10165,2015,11,24,22,50,54.4,PERU,PERU-BRAZIL,-10.06,-71.018,621,7.6,5,,,,
10166,2015,11,24,22,45,38.9,PERU,PERU-BRAZIL,-10.537,-70.944,606,7.6,5,,,,
10168,2015,12,7,7,50,6,TAJIKISTAN,TAJIKISTAN,38.211,72.78,22,7.2,4,2,,5,500
10169,2015,12,25,19,14,47.2,AFGHANISTAN,AFGHANISTAN; PAKISTAN,36.494,71.126,206,6.3,6,4,97,,
10170,2016,1,3,23,5,22.3,INDIA,INDIA:  IMPAHL,24.804,93.651,55,6.7,8,13,100,75,
10171,2016,1,16,23,22,29,INDONESIA,"INDONESIA: MALUKU:  BURU, AMBALAU ISLAND",-3.873,127.229,4,5.6,3,1,22,,
10172,2016,1,24,10,30,29.6,USA,ALASKA:  KENAI,59.62,-153.339,126,7.1,6,,,,4
10173,2016,1,25,4,22,2.7,MOROCCO,MOROCCO:  MELILLA,35.649,-3.682,12,6.3,6,1,26,,
10174,2016,2,5,19,57,27.4,TAIWAN,TAIWAN:  TAINAN,22.938,120.601,23,6.4,8,117,525,700,
10175,2016,3,2,12,49,48.1,INDONESIA,INDONESIA: SUMATRA:,-4.952,94.33,24,7.8,5,,,,
10176,2016,4,16,23,58,37,ECUADOR,"ECUADOR:  NEAR WEST COAST: MANABI, ESMERALDAS",0.382,-79.922,21,7.8,9,663,6274,3300,6998
10177,2016,4,15,16,25,6.2,JAPAN,"JAPAN:  KUMAMOTO, OITA",32.791,130.754,10,7,9,50,1500,20000,80000
10178,2016,5,11,1,15,22,CHINA,CHINA:  TIBET (XIZANG PROVINCE),32.022,95.027,8,5.2,,,60,,
10179,2016,4,28,19,33,24.1,VANUATU,VANUATU ISLANDS,-16.043,167.379,24,7,7,,,,
10181,2016,5,18,16,47,26,ECUADOR,ECUADOR:  MANABI PROVINCE,0.495,-79.616,30,6.9,4,1,162,,
10182,2013,4,10,19,14,2,HONDURAS,HONDURAS: ATLANTIDA,15.52,-87.159,4,5.4,,,,,12
10185,2016,6,7,19,15,33,INDONESIA,INDONESIA:  MALUKU:  TERNATE ISLAND,1.279,126.371,31,6.3,4,,,,
10186,2016,4,10,10,28,58.7,AFGHANISTAN,AFGHANISTAN:  KHYBER PAKHTUNKHWA,36.473,71.131,212,6.6,6,6,5,,
10187,2016,7,1,14,59,15,TAJIKISTAN,TAJIKISTAN:  RASHT,38.881,70.559,10,5,,,,,31
10188,2016,7,29,21,19,14,USA TERRITORY,NORTHERN MARIANA ISLANDS,18.543,145.507,196,7.7,4,,,,
10189,2016,7,31,23,41,28,INDONESIA,INDONESIA:  SUMBAWA ISLAND:  WEST NUSA TENGGARA,-8.194,117.814,21,5.6,6,,4,,
10190,2016,8,12,1,26,28,NEW CALEDONIA,NEW CALEDONIA:  LOYALTY ISLANDS,-22.477,173.117,16,7.2,,,,,
10191,2016,8,15,2,58,0,PERU,PERU:  AREQUIPA,-15.64,-71.68,8,5.5,6,9,68,,605
