Id,Year,Month,Day,Hour,Minute,Second,Tsunami,Country,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Injuries,Damage ($Mil),Houses Destroyed
10483,2020,3,10,10,18,6,,INDONESIA,"INDONESIA:  JAVA:  SUKABUMI, BOGOR",-6.808,106.676,23,5,8,,4,,
10485,2020,3,18,13,9,31,,USA,UTAH,40.751,-112.078,12,5.7,6,,,100,
10486,2020,3,22,5,24,3,,CROATIA,BALKANS NW:  CROATIA:  ZAGREB,45.897,15.966,10,5.4,8,1,27,1800,6305
10487,2020,3,25,2,49,21,5746,RUSSIA,RUSSIA:  KURIL ISLANDS,48.986,157.693,57,7.5,6,,,,
10488,2020,4,1,12,23,27,,CHINA,CHINA:  QINGHAI PROVINCE,33.124,98.916,10,5.3,,,,11.28,
10490,2020,5,2,12,51,6,5747,GREECE,GREECE:  CRETE,34.205,25.712,17,6.6,7,,,,
10491,2020,5,7,20,18,22,,IRAN,"IRAN:  TEHRAN, DAMAVAND",35.725,52.044,10,4.6,,2,22,,
10494,2020,5,18,13,48,3,,CHINA,CHINA:   YUNNAN PROVINCE:  QIAOJIA,27.296,103.281,10,5.2,,4,24,,
10501,2020,5,29,5,30,,5748,INDONESIA,INDONESIA:  JAVA:  IJEN,-8.058,114.242,,,,,,,
10502,2020,6,4,8,49,39,,INDONESIA,INDONESIA: NORTH MALUKU: MOROTAI,2.923,128.248,107,6.4,4,,,,14
10503,2020,6,7,5,27,22,,PERU,PERU:  COAST:  CHIMBOTE,-9.634,-78.591,57,4.5,,1,,,
10504,2020,6,14,14,24,29,,TURKEY,TURKEY:  BINGOL,39.421,40.697,10,5.9,,1,35,,
10505,2020,6,18,12,49,53,5750,NEW ZEALAND,"KERMADEC ISLANDS:  S OF, RAOUL",-33.294,-177.838,10,7.4,,,,,
10506,2020,6,23,15,29,5,5751,MEXICO,MEXICO: OAXACA,16.029,-95.901,26,7.4,,10,24,,
10507,2020,6,25,10,3,31,,TURKEY,TURKEY:  VAN,38.558,44.023,10,5.4,,,5,,
10508,2013,4,22,1,16,32,5752,MEXICO,MEXICO:  MICHOACAN: LAZARO CARDENAS,18.081,-102.182,30,6,6,,,,
10509,2020,7,22,6,12,44,5753,USA,ALASKA,55.03,-158.522,28,7.8,8,,,,
10510,2020,7,17,2,50,23,,PAPUA NEW GUINEA,"PAPUA NEW GUINEA:  MOROBE, ORO",-7.843,147.766,80,7,,1,1,,
10511,2020,7,27,5,14,51,,VIETNAM,VIETNAM: SON LA PROVINCE,20.872,104.541,10,4.8,,,,,
10512,1983,6,24,7,18,22,,VIETNAM,VIETNAM,21.721,103.282,18,6.3,8,,,,
10513,2001,2,19,15,51,35,,LAOS,LAOS;  VIETNAM: DIENBIEN PHU,21.396,102.715,10,4.9,8,,4,,
10514,2020,8,9,12,7,37,,USA,NORTH CAROLINA:  SPARTA,36.476,-81.094,8,5.1,,,,,60
10515,2020,8,18,0,3,48,,PHILIPPINES,PHILIPPINES:  MASBATE,12.021,124.123,10,6.6,7,2,50,0.57,138
10517,2019,11,11,10,52,46,,FRANCE,"FRANCE:  LE TEIL, SAINT-THOME, VIVIERS",44.612,4.638,10,4.8,7,,4,59.4,
10520,2020,10,19,20,54,39,5755,USA,ALASKA,54.608,-159.655,33,7.6,8,,,,
10521,2020,10,30,11,51,27,5757,TURKEY,GREECE:  SAMOS; TURKEY:  IZMIR,37.918,26.79,21,7,8,117,1054,400,
10522,2020,12,27,21,39,14,5760,CHILE,CHILE:  OFF COAST CENTRAL,-39.343,-74.99,10,6.7,5,,,,
10523,2020,12,29,11,19,54,,CROATIA,BALKANS NW:  CROATIA:  PETRINJA,45.422,16.255,10,6.4,9,8,36,4187,1500
10524,2021,1,14,18,28,18,,INDONESIA,"INDONESIA:  SULAWESI:  MAMUJU, MAJENE",-2.976,118.901,18,6.2,9,105,6489,58.7,1150
10525,2021,1,15,21,31,4,,IRAN,IRAN:  HORMOZGAN PROVINCE,26.926,55.186,8,5.5,5,,1,,
10526,2021,1,23,23,36,50,5762,ANTARCTICA,SCOTIA SEA:  SOUTH SHETLAND ISLANDS,-61.825,-55.494,10,6.9,9,,,,
10527,2021,2,10,13,19,55,5763,NEW CALEDONIA,NEW CALEDONIA:  LOYALTY ISLANDS,-23.054,171.601,10,7.7,7,,,,
10528,2021,2,12,17,1,34,,TAJIKISTAN,PAKISTAN: HARIPUR; TAJIKISTAN,38.132,73.569,91,5.9,8,1,,,
10529,2021,2,13,14,7,50,5823,JAPAN,JAPAN:  OFF FUKUSHIMA,37.745,141.749,49,7.1,9,1,186,7700,798
