Id,Year,Month,Day,Hour,Minute,Second,Tsunami,Country,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Injuries,Damage ($Mil),Houses Destroyed
5086,1985,11,28,3,49,54.1,,VANUATU,VANUATU ISLANDS,-13.987,166.185,33,7.6,,,,,
5087,1985,12,16,2,44,36,,NICARAGUA,"NICARAGUA:  RIVAS,  MASAYA",11.725,-85.838,22,6,6,,6,,
5088,1985,12,21,1,13,22.4,,VANUATU,VANUATU ISLANDS,-13.966,166.516,43,7.6,,,,,
5089,1986,1,11,19,42,21.9,,PERU,"PERU:  HUARMEY, CASMA, HUARAX, CHIMBOTE",-9.505,-77.512,39,5.3,4,1,,,60
5090,1986,1,29,11,56,34.6,,INDONESIA,"INDONESIA:  SUMATERA:  S, HAHAT, MUARAENIM",-3.904,103.461,33,5,,,2,,
5091,1986,2,3,15,12,46.7,,GUATEMALA,"GUATEMALA:  IXCHIGUAN, SAN MARCOS PROVINCE",15.075,-92.072,16,4.7,,,,,500
5092,1986,4,5,20,14,28.7,,PERU,PERU:  CUZCO,-13.41,-71.785,51,4.6,6,16,170,22,2000
5093,1986,4,26,7,35,16.1,,INDIA,"INDIA:  KASHMIR:  DHARMSALA,  LAHORE, PAKISTAN",32.128,76.374,33,5.3,,6,30,,
5094,1986,5,5,3,35,38.8,,TURKEY,"TURKEY:  DOGANSEHIR-GOLBASHI, KAPIDERE",37.993,37.806,10,5.9,,15,100,5,4000
5095,1986,5,7,22,47,10.8,2164,USA,ALASKA:  ALEUTIAN ISLANDS:  ADAK,51.52,-174.776,19,8,6,,,,
5096,1986,5,13,8,44,2.1,,GEORGIA,"GEORGIA:  AKHALKALAKI, SUSUZ",41.431,43.737,10,5.7,7,2,,,1500
5097,1986,5,15,14,38,9.2,,PAKISTAN,"PAKISTAN:  BARKHAM, MATAKARI, HAMTAROT",29.627,69.363,18,5.2,,,,,
5098,1986,5,20,5,25,46.9,,TAIWAN,TAIWAN:  HUALIEN,24.125,121.619,19,6.4,,1,5,,
5099,1986,6,11,13,48,1.3,,VENEZUELA,VENEZUELA,10.597,-62.928,19,6.2,7,2,45,1,
5100,1986,7,8,9,20,44.5,,USA,CALIFORNIA:  PALM SPRINGS,34,-116.61,12,6,7,,29,4.5,
5101,1986,7,12,7,54,26.8,,IRAN,"IRAN:  S, FARS PROVINCE, MAMASANI, SHIRAZ",29.962,51.582,10,5.6,,1,4,,300
5102,1986,7,13,13,47,8.2,,USA,"CALIFORNIA:  SAN DIEGO, NEWPORT BEACH",32.97,-117.869,6,5.8,6,,,0.7,
5104,1986,7,18,17,22,38.2,,VENEZUELA,"VENEZUELA:  CHURUGUARA,  FALCON, LARA",10.77,-69.428,7,4.9,,1,,,30
5105,1986,7,21,14,42,26.6,,USA,CALIFORNIA-NEVADA:  CHALFANT VALLEY,37.537,-118.447,9,6.2,6,,,1,
5106,1986,8,3,1,33,20.3,,TURKEY,"TURKEY:  YESILCE,  UCGOZE, SAM",37.2,37.3,12,4.1,,,,,73
5107,1986,8,30,21,28,35.4,,ROMANIA,"ROMANIA:  BUCHAREST, KISHINEV-KAGUL",45.547,26.316,132,6.9,8,2,558,730,
5108,1986,9,13,17,24,31.4,,GREECE,"GREECE:  KALAMI, LAKONIA, ZAKINTHOS",37.014,22.176,11,5.8,10,20,300,5,1500
5109,1986,9,15,11,41,27.8,,GREECE,"GREECE:  S, MESSINIA, BERGA, NEDOUSA",36.93,22.175,10,4.8,7,,37,,
