Id,Year,Month,Day,Hour,Minute,Second,Tsunami,Country,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Injuries,Damage ($Mil),Houses Destroyed
10389,2019,1,6,13,41,6,,IRAN,IRAN:  KERMANSHAH: SARPOL-E ZAHAB,34.125,45.679,14,5.6,,,75,,
10390,2019,1,22,22,35,8,,POLAND,POLAND:  RYDULTOWY,50.11,18.456,5,3.9,,1,8,,
10391,2019,2,1,10,23,54,,INDIA,INDIA:  MAHARASHTRA:  PALGHAR,19.9,72.8,5,3.6,,1,,,
10392,2019,2,1,16,19,29,,MEXICO,MEXICO:  CHIAPAS; GUATEMALA:  SAN MARCOS,14.68,-92.453,66,6.7,,,4,,
10393,2019,2,22,10,18,17,,ECUADOR,"ECUADOR: AZUAY, MANABI, MORONA SANT.; PERU",-2.186,-77.051,145,7.5,,1,9,,5
10394,2019,2,5,19,35,21,,AZERBAIJAN,AZERBAIJAN:  SHEMAKHA (SEMACHA),40.896,48.607,10,5,,,30,,
10395,2019,2,25,5,16,25,,CHINA,CHINA:  SICHUAN PROVINCE: RONGXIAN,29.47,104.609,10,4.9,,2,12,2,9
10396,2019,3,1,8,50,42,,PERU,PERU:  AREQUIPA,-14.713,-70.155,267,7,,1,2,,1
10398,2019,2,27,23,27,24,,INDONESIA,INDONESIA: SUMATRA: SOLOK,-1.323,101.578,10,5.4,,,48,,
10399,2019,3,17,7,7,25,,INDONESIA,INDONESIA:  LOMBOK ISLAND,-8.418,116.521,10,5.6,,6,182,,843
10400,2019,3,21,9,15,40,,TANZANIA,"TANZANIA:  SONGWE, MBEYA",-7.914,32.109,22,5.5,,1,,,4
10402,2019,4,12,11,40,49,,INDONESIA,INDONESIA:  SULAWESI ISLAND: LUWUK,-1.852,122.553,18,6.8,,1,,,
10403,2017,2,6,13,2,14,,COLOMBIA,COLOMBIA:  HUILA,3.449,-74.672,38,5.5,,,,,
10404,2017,2,24,0,32,8,,ZAMBIA,ZAMBIA:  KAPUTA,-8.44,30.031,30,5.9,,,5,,
10405,2017,2,6,3,52,4,,TURKEY,TURKEY:  CANAKKALE,39.599,26.065,10,5.3,,,5,,
10406,2019,4,22,9,11,11,,PHILIPPINES,PHILIPPINES:  PAMPANGA PROVINCE,14.924,120.497,20,6.1,,18,183,50,1046
10407,2019,4,18,5,1,6,,TAIWAN,TAIWAN:  HUALIEN,23.989,121.693,20,6.1,,1,16,,
10408,2019,5,14,12,58,25,5705,PAPUA NEW GUINEA,"PAPUA NEW GUINEA:  RABAUL, DUKE OF YORK IS",-4.051,152.597,10,7.6,,,,,
10409,2019,5,6,21,19,35,,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  MOROBE: WAMPAR,-6.977,146.44,127,7.2,,,,,130
10410,2019,5,17,22,24,52,,CHINA,CHINA:  JILIN PROVINCE:  SONGYUAN,45.205,124.611,17,4.8,,,,,
10411,2019,5,22,3,48,59,,NETHERLANDS,THE NETHERLANDS: GRONINGEN,53.394,6.586,10,3.2,,,,,
10412,2019,5,26,7,41,14,,PERU,"PERU:  LA LIBERTAD, CAJAMARCA; ECUADOR",-5.796,-75.298,110,8,,2,30,,
10413,2012,3,9,7,9,50.9,5706,VANUATU,VANUATU ISLANDS,-19.125,169.613,16,6.7,,,,,
10414,2019,6,14,0,19,12,5710,CHILE,CHILE:  COQUIMBO,-30.056,-72.082,11,6.4,,,,,
10415,2019,6,15,22,55,2,5711,NEW ZEALAND,"KERMADEC ISLANDS:  S OF, RAOUL",-30.805,-178.095,34,7.2,,,,,
10417,2019,6,17,14,55,45,,CHINA,CHINA:  SICHUAN:  YIBIN,28.405,104.957,10,5.8,,13,200,1300,
10418,2019,6,18,13,22,19,5712,JAPAN,JAPAN:  NIIGATA PREFECTURE,38.646,139.472,12,6.4,,,28,,
10419,2009,7,1,9,30,10.4,5713,GREECE,GREECE:  CRETE,34.164,25.471,19,6.4,2,,,,
10420,2019,6,1,4,26,19,,ALBANIA,ALBANIA:  KORCE,40.501,20.722,10,5.2,,,4,,
10421,2019,7,1,12,12,6.8,,POLAND,POLAND:  KATOWICE,50.287,18.997,,3.1,,3,6,,
10422,2019,7,4,17,33,49,,USA,CALIFORNIA:  RIDGECREST;  NEVADA,35.705,-117.506,11,6.4,,1,,,
10423,2019,7,6,3,19,52,,USA,CALIFORNIA:  RIDGECREST,35.766,-117.605,8,7.1,,,,5300,101
10424,2019,7,8,7,0,31,,IRAN,IRAN:  MASJED-E SOLEYMAN,31.775,49.542,10,5.7,,1,128,,
10425,2019,7,19,11,13,16,,GREECE,GREECE:  ATHENS,38.115,23.505,10,5.3,,,4,,
10426,2019,7,14,9,10,50,,INDONESIA,INDONESIA:  MOLUCCA ISLANDS:  N,-0.529,128.093,10,7.3,,8,134,,1176
10427,2019,7,12,20,42,55,,PHILIPPINES,PHILIPPINES: MINDANAO: SURIGAO DEL SUR PROVINCE,9.334,126.04,14,5.8,,,59,0.71,67
10428,2019,7,26,23,37,58,,PHILIPPINES,PHILIPPINES:  BATANES:  ITBAYAT,20.807,121.986,10,6,,9,64,0.925,
