Id,Year,Month,Day,Hour,Minute,Second,Country,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Injuries,Damage ($Mil),Houses Destroyed
5312,1991,11,22,0,40,23.9,YEMEN,YEMEN:  WESTERN  ARABIAN PENINSULA,13.887,44.068,10,4.7,,11,40,,17
5313,1991,11,28,17,19,55.5,IRAN,"IRAN:  RUDBAR, RASHT",36.924,49.603,16,5,,1,70,,
5314,1991,12,2,8,49,40.2,ROMANIA,"ROMANIA:  VOITEG, DETA, BANLOC",45.498,21.115,9,5.5,8,,,,
5315,1992,2,4,1,58,39.7,INDONESIA,"INDONESIA:  JAWA, BREBES",-7.138,109.067,58,4.4,,,1,,800
5316,1992,3,4,11,57,53,IRAN,IRAN:  LORDEGAN ARDAL AREA,31.726,50.778,18,4.6,,6,50,,300
5317,1992,3,13,17,18,39.9,TURKEY,TURKEY:  ERZINCAN,39.71,39.605,27,6.9,8,653,2000,750,
5319,1992,4,13,1,20,0.8,NETHERLANDS,"THE NETHERLANDS: ROERMOND; GERMANY: BONN, HEINSBERG",51.153,5.798,21,5.2,8,1,45,100,
5320,1992,4,23,4,50,23.2,USA,"CALIFORNIA:  JOSHUA TREE, ANGELUS OAKS",33.961,-116.318,12,6.3,7,,32,,
5321,1992,4,25,18,6,4.2,USA,"CALIFORNIA: HUMBOLDT COUNTY: FERNDALE, PETROLIA",40.368,-124.316,15,7.1,8,,98,75,
5323,1992,5,15,8,8,2.9,KYRGYZSTAN,KYRGYZSTAN:  OSH; UZBEKISTAN:  ANDIZHAN,41.019,72.429,50,6.2,7,4,,31,5500
5324,1992,5,17,10,15,31.3,PHILIPPINES,"PHILIPPINES:  MINDANAO, TANDAG, BISLIG",7.191,126.762,33,7.5,,,,,
5325,1992,5,20,12,20,32.8,PAKISTAN,"PAKISTAN:  PESHAWAR, KOHAT, SHAKKAR KHEL",33.377,71.317,16,6,,36,100,,400
5327,1992,5,25,16,55,4.1,CUBA,"CUBA:  PILON, MANZANILLO",19.613,-77.872,23,7,,,40,,
5328,1992,6,28,11,57,34.1,USA,"CALIFORNIA: LANDERS, YUCCA  VALLEY",34.201,-116.436,1,7.6,9,3,400,92,
5330,1992,6,28,15,5,30.7,USA,"CALIFORNIA: BIG BEAR LAKE, BIG BEAR CITY",34.203,-116.827,5,6.7,8,,,,
5331,1992,6,29,10,14,22.2,USA,NEVADA-CALIFORNIA BORDER:  NEVADA TEST SITE,36.705,-116.293,9,5.4,,,,,
5332,1992,8,19,2,4,37.4,KYRGYZSTAN,KYRGYZSTAN:  TOLUK,42.142,73.575,27,7.5,9,75,,130,8200
5334,1992,8,28,0,50,50.4,PAKISTAN,PAKISTAN:  KALAT,29.087,66.74,9,5.5,,4,200,,
5335,1992,9,2,0,16,3.3,NICARAGUA,NICARAGUA:  MASACHAPA; COSTA RICA,11.5,-87.609,30,7.6,,,,,
5337,1992,9,8,0,38,15.4,IRAN,IRAN:  FIRUZABAD,29.134,52.187,18,4.7,,1,11,,200
5338,1992,9,11,3,57,26.5,CONGO,CONGO:  KABALO,-6.087,26.651,11,7,,8,37,,
5339,1992,10,12,13,9,55.5,EGYPT,EGYPT:  CAIRO,29.778,31.144,22,5.3,,545,6512,1200,9350
5341,1992,10,17,8,32,40.5,COLOMBIA,"COLOMBIA:  MURINDO, CALI",6.845,-76.806,14,7,,,20,,
5342,1992,10,18,15,11,59.1,COLOMBIA,"COLOMBIA:  MURINDO, APARTADO, MEDELLIN",7.075,-76.862,10,7.4,,11,115,,
5343,1992,12,12,5,29,26.3,INDONESIA,"INDONESIA:  FLORES REGION, MAUMERE, BABI",-8.48,121.896,28,7.8,11,1000,500,100,31785
5344,1993,1,15,11,6,5.9,JAPAN,"JAPAN:  HOKKADIO, KUSHIRO, HACHINOHE, HONSHU",43.3,143.691,102,7.6,6,2,,358,
5346,1993,1,26,20,32,6.9,CHINA,CHINA:  YUNNAN PROVINCE,23.027,101.062,33,5.6,,,66,,28417
5347,1993,1,27,10,27,5.6,IRAN,IRAN:  NEHBANDAN,32.104,60.088,33,5.1,,,,,
5348,1993,2,7,13,27,42,JAPAN,"JAPAN:  HONSHU:  ISHIKAWA, TOYAMA, NIIGATA",37.634,137.245,11,6.3,,,,,
5349,1993,3,12,14,1,35.4,WALLIS AND FUTUNA (FRENCH TERRITORY),FUTUNA ISLAND,-14.385,-178.252,10,6.4,,5,201,,
