Id,Year,Month,Day,Hour,Minute,Second,Tsunami,Country,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Injuries,Damage ($Mil),Houses Destroyed
5548,1999,12,11,18,3,36.4,,PHILIPPINES,"PHILIPPINES:  S LUZON:  MANILA, SANTA CRUZ",15.766,119.74,33,7.3,7,5,40,1.794,
5549,1999,12,21,14,14,57.6,,INDONESIA,"INDONESIA:  PANDEGLANG, W JAWA, SE SUMATERA",-6.845,105.555,56,6.5,,5,220,3.9,
5550,1999,12,22,17,36,56.2,,ALGERIA,ALGERIA:  NORTHERN:  AIN TEMOUCHENT,35.321,-1.281,10,5.6,7,24,175,60.929,
5551,2000,1,3,22,34,12.6,,INDIA,INDIA-BANGLADESH BORDER:  MAHESHKHALI,22.132,92.771,33,4.6,,,,,
5552,2000,1,11,23,43,56.4,,CHINA,CHINA:  LIAONING PROVINCE,40.498,122.994,10,5.1,,,30,,3600
5553,2000,1,14,23,37,7.8,,CHINA,CHINA:  YUNNAN PROVINCE:  YAOAN COUNTY,25.607,101.063,33,5.9,,5,2528,73.5,41000
5554,2000,2,2,22,58,1.5,,IRAN,"IRAN:  BARDASKAN, KASHMAR",35.288,58.218,33,5.3,,1,15,,100
5555,2000,2,7,19,34,57,,SOUTH AFRICA,SOUTH AFRICA; SWAZILAND:  MBABANE-MANZINI,-26.288,30.888,5,4.5,,,1,,
5556,2000,3,28,11,0,22.5,,JAPAN,JAPAN:  VOLCANO ISLANDS,22.338,143.73,127,7.6,,,,,
5557,2000,5,4,4,21,16.2,2338,INDONESIA,"INDONESIA:  SULAWESI:  LUWUK, BANGGAI, PELENG,",-1.105,123.573,26,7.6,,54,264,30,23000
5558,2000,5,7,23,10,54.1,,TURKEY,"TURKEY:  DOGANYOL, PUTURGE",38.164,38.777,5,4.1,,,,,
5559,2000,5,17,3,25,48.7,,TAIWAN,TAIWAN:  TAI-CHUNG COUNTY,24.223,121.058,10,5.4,,3,13,,
5560,2000,6,4,16,28,26.1,,INDONESIA,"INDONESIA:  SUMATRA:  BENGKULU, ENGGANO",-4.721,102.087,33,7.9,6,103,2174,6,
5561,2000,6,6,2,41,49.8,,TURKEY,"TURKEY:  CERKES, CUBUK, ORTA",40.693,32.992,10,6,7,2,80,,
5562,2000,6,7,21,46,55.9,,CHINA,CHINA:  YUNNAN PROVINCE:  LIUKU; MYANMAR,26.856,97.238,33,6.3,,,,,
5563,2000,6,7,23,45,26.6,,INDONESIA,INDONESIA:  SOUTHERN SUMATERA:  LAHAT,-4.612,101.905,33,6.7,,1,,,
5564,2000,6,10,18,23,29.3,,TAIWAN,TAIWAN:  NAN-TOU,23.843,121.225,33,6.4,,2,36,,
5565,2000,6,18,14,44,13.3,2341,AUSTRALIA,"AUSTRALIA:  S, COCOS ISLANDS",-13.802,97.453,10,7.9,,,,,
5566,2000,6,21,0,51,46.8,,ICELAND,"ICELAND:  GRIMSNES, SELFOSS, EYRARBAKKI, STOKKSEYRI",63.98,-20.758,10,6.5,,,,12,12
5568,2000,7,1,7,1,55.5,2340,JAPAN,JAPAN:  NEAR S COAST HONSHU:  KOZU-SHIMA,34.221,139.131,10,6.1,,1,,,
5569,2000,7,6,19,30,20.3,,NICARAGUA,NICARAGUA:  MASAYA,11.884,-85.988,33,5.4,,7,42,,357
5570,2000,7,12,1,10,42.6,,INDONESIA,"INDONESIA: JAWA:BANDUNG,CIBADAK,CIMANDIRI,KADUDAMPIT",-6.675,106.845,33,5.4,,,6,,
5571,2000,7,15,1,30,30.5,3508,JAPAN,JAPAN:  NEAR S COAST HONSHU:  NII-JIMA,34.319,139.26,10,6.1,,,10,,
5572,2000,7,16,3,21,45.5,,PHILIPPINES,"PHILIPPINES:  BASCO, MOUNT IRADA, BATAN ISLANDS",20.253,122.043,33,6.4,,,6,,
5573,2002,7,22,5,45,3,,GERMANY,"GERMANY:  AACHEN, COLOGNE, SPANGDAHLEM",50.889,6.103,17,4.8,,,,,
5574,2000,8,4,21,13,2.7,,RUSSIA,"RUSSIA:  SAKHALIN ISLAND, UGLEGORSK, MAKAROV",48.786,142.246,10,6.8,6,,8,0.92,
5575,2000,8,21,13,25,44.5,,CHINA,CHINA:  YUNNAN PROVINCE:  WUDING,25.826,102.194,33,4.2,,1,406,43,
5576,2000,9,3,8,36,30,,USA,CALIFORNIA:  NAPA,38.379,-122.413,10,5,7,,41,50,
5577,2000,10,2,2,25,31.3,,TANZANIA,"TANZANIA:  NKANSI, RUKWA",-7.977,30.709,34,6.5,,,6,,7
5578,2000,10,6,4,30,19.1,,JAPAN,"JAPAN:  HONSHU:  W:  OKAYAMA, TOTTORI",35.456,133.134,10,6.7,9,,130,150,104
5579,2000,10,30,22,39,6.5,,AFGHANISTAN,AFGHANISTAN-TAJIKISTAN:  RAKHOR,37.542,69.582,33,5.1,,,,,
