Id,Year,Month,Day,Hour,Minute,Second,Country,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Injuries,Damage ($Mil),Houses Destroyed
4806,1978,6,12,8,14,26.4,JAPAN,JAPAN:  SANRIKU,38.19,142.028,44,7.7,8,28,10000,865,
4808,1978,6,20,20,3,21,GREECE,GREECE: THESSALONIKI,40.739,23.229,3,6.4,8,50,,250,
4810,1978,7,29,14,37,32.7,GUATEMALA,GUATEMALA:  PATZUN,14.843,-91.022,10,4.5,,17,,,
4812,1978,8,3,18,11,17.1,CHILE,CHILE:  NORTHERN:  COPIAPO-TALTAI,-26.51,-70.54,58,7,9,,13,,
4813,1978,8,13,22,54,53.5,USA,CALIFORNIA:  SOUTHERN,34.284,-119.795,10,5.8,7,,65,15,
4814,1978,9,3,5,8,30.2,GERMANY,GERMANY,48.29,9.01,8,5.3,8,,,150,
4815,1978,9,16,15,35,55.4,IRAN,IRAN:  TABAS,33.205,57.478,33,7.4,9,20000,,50,15000
4818,1978,11,1,19,48,28,UZBEKISTAN,UZBEKISTAN:   ANDIZHAN; TAJIKISTAN:  DUSHANBE,39.35,72.61,7,6.8,9,,,,
4819,1978,11,29,19,52,47.6,MEXICO,MEXICO:  OAXACA,16.01,-96.591,18,7.7,,9,,,
4820,1978,12,6,14,2,1,RUSSIA,RUSSIA:  KURIL ISLANDS,44.592,146.581,91,7.5,8,,,,
4821,1978,12,14,7,5,21.5,IRAN,IRAN:  MASJED-E-SOLEYMAN,32.112,49.68,33,6.1,8,76,,,
4824,1978,12,23,11,23,12,TAIWAN,TAIWAN:  PINTUNG,23.247,122.075,33,7,,2,3,,
4825,1979,1,16,9,50,9.9,IRAN,IRAN:  BONZANABAD,33.918,59.555,33,6.5,8,129,200,,1700
4827,1979,2,16,10,8,53.4,PERU,PERU:  AREQUIPA,-16.39,-72.658,53,6.9,,18,,,
4828,1979,3,14,11,7,16.3,MEXICO,MEXICO:  GUERRERO,17.813,-101.276,49,7.6,,5,35,30,200
4830,1979,4,15,6,19,44.1,MONTENEGRO,BALKANS NW:  MONTENEGRO,42.096,19.209,10,6.9,9,130,1001,2700,
4832,1979,5,21,16,31,5.2,INDONESIA,INDONESIA:  BALI,-8.299,115.934,43,5.4,,,,,
4833,1979,5,24,17,23,18.2,MACEDONIA,BALKANS NW:  MACEDONIA:  DEBAR,42.255,18.752,8,6.2,8,,65,,
4834,1979,5,30,9,38,52.9,INDONESIA,INDONESIA:  SUMBAWA ISLAND,-8.207,115.949,25,5.8,,22,,4.15,
4836,1979,6,2,9,47,58.1,AUSTRALIA,AUSTRALIA:  WESTERN,-30.812,117.179,6,6.1,,,,1.5,
4837,1979,6,25,5,29,5.6,PAPUA NEW GUINEA,"PAPUA NEW GUINEA:  E, MT HAGEN",-4.98,145.577,189,6.2,,,,,
4838,1979,7,1,20,38,4,PANAMA,PANAMA-COSTA RICA:  PUERTO ARMUELLES,8.316,-82.943,28,6.5,,,,2,
4839,1979,7,9,10,57,22.1,CHINA,CHINA:  JIANGSU PROVINCE:  LIYANG,31.452,119.241,11,5.4,8,42,2987,,113909
4840,1979,7,18,13,12,2.5,TURKEY,"TURKEY:  DURSUNBEY, ANATOLIA",39.672,28.66,10,4.9,,,,,200
4841,1979,8,24,16,59,30.8,CHINA,CHINA:  NEI MONGOL:  WU-YUAN,41.145,108.129,33,5.9,,,104,,400
4842,1979,9,12,5,17,51.4,INDONESIA,INDONESIA:  NEW GUINEA:  IRIAN JAYA,-1.679,136.04,5,7.9,,15,,,1000
4844,1979,9,19,21,35,37.2,ITALY,ITALY:  CENTRAL:  UMBRIA,42.812,13.061,16,5.8,,5,5000,,
4845,1979,10,9,7,49,29.2,GUATEMALA,GUATEMALA,14.321,-90.082,33,4.7,7,,40,,
4846,1979,10,12,10,25,22.3,NEW ZEALAND,NEW ZEALAND:  W OF NORTH ISLAND,-46.675,165.707,33,7.5,5,,,,
4847,1979,10,15,23,16,54.1,USA,CALIFORNIA:  IMPERIAL VALLEY; MEXICO: MEXICALI,32.634,-115.324,10,6.9,9,,91,30,2
4849,1979,10,20,1,41,10.4,INDONESIA,INDONESIA:  SUMBAWA ISLAND,-8.254,115.847,38,6.2,,2,40,,
4850,1979,10,27,14,35,57.3,GUATEMALA,GUATEMALA,13.833,-90.881,58,6.8,,4,23,,
4851,1979,11,2,15,53,3.5,INDONESIA,INDONESIA:  JAVA,-7.656,108.252,62,6.1,,30,200,16,
4853,1979,11,6,5,26,17.7,GREECE,GREECE-ALBANIA,39.536,20.398,40,5.2,8,1,3,,
4854,1979,11,14,2,21,21.5,IRAN,IRAN:  KHORASAN,33.978,59.832,33,6.6,8,171,,,216
4856,1979,11,16,15,21,25.7,FIJI,FIJI ISLANDS,-16.76,-179.984,33,6.9,,,,,
4858,1979,11,23,23,40,29.8,COLOMBIA,COLOMBIA:  MANIZALES-ARMENIA,4.805,-76.217,108,6.4,9,72,600,20,
4860,1979,11,27,17,10,35.6,IRAN,IRAN,33.974,59.847,10,7.1,9,20,23,,
4861,1979,12,7,9,24,0.2,IRAN,IRAN,34.033,59.817,33,6,,,,,
4863,1979,12,12,7,59,5.6,COLOMBIA,"COLOMBIA: OFF SHORE, PACIFIC OCEAN",1.555,-79.276,23,8.1,9,600,20000,8,10000
4866,1979,12,15,0,2,41.6,INDONESIA,INDONESIA:  S SUMATERA,-3.299,102.712,33,6.6,,8,162,,2500
4867,1979,12,17,19,58,23.8,INDONESIA,"INDONESIA:  SUMBAWA ISLAND:  BALI, LOMBOK",-8.39,115.889,33,6.3,,27,200,,
4868,1980,1,1,16,42,42,AZORES (PORTUGAL),"AZORES:   TERCEIRA, ANGRA DO HEROISMO",38.727,-27.75,13,6.9,8,69,600,5,15000
