Id,Year,Month,Day,Hour,Minute,Second,Tsunami,Country,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Injuries,Damage ($Mil),Houses Destroyed
4519,1970,2,14,11,17,16.1,,PERU,"PERU:  PANAO,CHACLLA,QUERO,AYLLAMARCA,LA LINDA",-9.9,-75.6,35,5.4,9,12,,,
4520,1970,3,14,1,51,44.4,,IRAN,"IRAN:  BADALAN,QERIS,BATCHI,DIZEH,PESAK,HESAR",38.6,44.7,23,4.8,,5,,,
4522,1970,3,23,1,52,59.3,,INDIA,INDIA:  BROACH,21.7,73,3,5.4,,26,200,,
4523,1970,3,28,21,2,26.7,,TURKEY,TURKEY:  GEDIZ,39.098,29.57,25,7.2,10,1086,1174,55.6,8229
4526,1970,4,7,5,34,5.6,2020,PHILIPPINES,PHILIPPINES:  LUZON,15.78,121.71,40,7.3,6,15,200,,
4528,1970,4,23,9,1,0,,TURKEY,"TURKEY:  DEMIRCI, MANISA",39.1,28.7,18,5.7,8,,43,,150
4530,1970,5,14,18,12,,3073,RUSSIA,RUSSIA:  DAGESTAN,43,47.1,44,6.5,8,,,,
4531,1970,5,31,20,23,27.3,2021,PERU,"PERU: NORTHERN, PISCO, CHICLAYO",-9.2,-78.8,43,7.9,10,66794,50000,530,
4537,1970,6,5,4,53,6.4,,KAZAKHSTAN,KAZAKHSTAN:  ALMA-ATA,42.5,78.8,20,6.6,,,,,5000
4538,1970,6,11,16,46,38.3,,AUSTRALIA,AUSTRALIA:  MACQUARIE ISLAND,-59.1,157.8,33,7.6,,,,,
4539,1970,6,24,13,9,8.3,,CANADA,"CANADA:  QUEEN CHARLOTTE ISLANDS, BRITISH COLOMBIA",51.8,-131,12,7.5,,,,,
4543,1970,7,30,0,52,19.5,,IRAN,"IRAN:  KARNAVEH, MAREV",37.8,55.9,16,6.7,8,220,483,8,2000
4544,1970,7,31,17,8,5.4,,PERU,PERU:  JUIN  PROVINCE FELT ARGENTINA TO MEXICO CITY,-1.5,-72.6,651,7.1,,1,,,
4546,1970,9,26,12,2,29.3,,COLOMBIA,COLOMBIA:  BAHIA SOLANO,6.2,-77.6,8,6.6,,,2,0.4,104
4547,1970,9,30,9,52,22.7,2027,PHILIPPINES,"PHILIPPINES:  BATAN ISLANDS:  BASCO, SABTANG",20.6,122,33,5.3,7,,,,
4548,1970,9,7,20,58,,,CROATIA,BALKANS NW:  CROATIA:  KNIN,44,16,5,5.5,7,,8,,
4549,1970,7,2,2,24,35.7,,TURKEY,TURKEY:  SIVAS,38.8,36.7,27,4.9,,1,,,150
4550,1970,10,31,17,53,7.1,2028,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  MADANG,-4.907,145.471,8,7.3,8,15,20,1.75,800
4551,1970,12,10,4,34,38.8,,PERU,PERU:  N;  ECUADOR:  S,-4,-80.7,25,7.6,10,82,350,6,
4554,1971,1,10,7,17,3.7,,INDONESIA,"INDONESIA:  NEW GUINEA: IRIAN JAYA:DJAJAPURA,SENTANI",-3.1,139.7,34,8.1,9,,,,
4555,1971,2,4,15,33,28.6,,INDONESIA,"INDONESIA:  NATAL, SIBOLGA, TARUTUNG, PASAMAN",0.6,98.8,40,7.1,6,,,,
4556,1971,2,6,18,9,9.1,,ITALY,ITALY:  TUSCANIA,42.5,11.8,33,4.6,8,24,150,41,40
4558,1971,2,9,14,0,41.8,,USA,CALIFORNIA:  SAN FERNANDO,34.412,-118.4,8,6.5,11,65,2000,505,
4559,1971,2,14,16,27,36.1,,IRAN,"IRAN:  JAILAN,BOKRAN,HOSSEINABAD,SHARIFABAD",36.6,55.6,39,5.3,,1,,,
4560,1971,4,6,6,49,52.9,,IRAN,"IRAN:  DASHT-E-ARJAN,KHAN-E-ZENYAN,SHIRAZ",29.8,51.9,10,5.1,,,,,
4561,1971,4,12,19,3,24.4,,IRAN,"IRAN:  TAZARJ,BARGHANY,MADANUIYEH,BARAFTAB,DARAGAH",28.363,55.737,44,6.1,7,1,,,
4562,1971,5,12,6,25,13,,TURKEY,TURKEY:  BURDUR,37.6,29.8,23,5.9,6,100,,,
4567,1971,6,11,12,56,4.3,,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC:  SANTO DOMINGO,18,-69.8,57,6.1,,,,,
4568,1971,6,16,14,44,22.5,,INDONESIA,"INDONESIA:  JAVA:  BUARAN,BANTAR KAWSUN,JIPANG",-7.2,109.1,35,5.2,,1,6,,
4570,1971,6,17,21,,40.9,,CHILE,"CHILE:  CATALINA, ANTOFAGASTA",-25.5,-69.2,93,6.3,5,1,,,
4572,1971,7,9,3,3,18.7,2033,CHILE,CHILE:  CENTRAL,-32.5,-71.2,58,7.8,9,83,447,236.4,
4574,1971,7,14,6,11,29.1,2034,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  NEW IRELAND: BOUGAINVILLE,-5.5,153.9,47,7.9,9,2,5,,
4575,1971,7,15,1,33,22.3,,ITALY,ITALY:  PARMA,44.8,10.3,7,5.2,,2,,,
4576,1971,7,26,1,23,21.3,2035,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  BISMARCK SEA  RABAUL,-4.9,153.2,48,7.9,6,,,,
4578,1971,7,27,2,2,49.6,,PERU,PERU-ECUADOR:  GUAYAQUIL,-2.7,-77.4,135,6.3,7,1,,,
