Id,Year,Month,Day,Hour,Minute,Second,Country,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Injuries,Damage ($Mil),Houses Destroyed
7704,2007,11,25,23,12,17,INDIA,"INDIA:  BADAUN, MEERUT, NOIDA, REWARI",28.555,77.057,10,4.7,,,,,
7708,2007,12,9,2,3,29.4,BRAZIL,BRAZIL:  MINAS GERAIS,-15.048,-44.231,10,4.6,,1,6,,76
7709,1990,3,3,12,16,27.9,FIJI,FIJI ISLANDS,-22.122,175.163,33,7.6,,,,,
7723,2007,12,15,18,22,27.1,CHILE,"CHILE:  OFF CENTRAL COAST, VINA DEL MAR, VALPARAISO",-32.689,-71.695,25,5.9,,,4,,
7724,2007,12,20,7,55,15.8,NEW ZEALAND,NEW ZEALAND:  OFF COAST NORTH ISLAND,-39.011,178.291,20,6.6,7,1,,,3
7725,2007,12,20,9,48,29.9,TURKEY,"TURKEY:  CENTRAL:  YENIYAPAN, ABAZLAR, SUYUGUZEL",39.417,33.212,10,5.7,,,,,
7726,2007,12,26,23,47,10.7,TURKEY,TURKEY:  CENTRAL:  ANKARA,39.446,33.162,8,5.6,,,,,2214
7743,2008,2,25,8,36,33,INDONESIA,INDONESIA:  SUMATRA:  PADANG,-2.486,99.972,25,6.5,,,,,
7745,2008,1,1,6,32,27.9,KYRGYZSTAN,KYRGYZSTAN:  OSH,40.288,72.985,6,5.6,,,,,5385
7746,2008,1,5,1,56,45.4,GUATEMALA,"GUATEMALA:  COLOMBA, FLORES, COSTA CUCA",14.129,-91.479,66,5.6,,,,,
7747,2008,1,7,3,12,26.8,INDONESIA,"INDONESIA: NEW GUINEA: MANOKWARI,",-0.795,134.012,12,5.9,,,6,,
7748,2008,1,9,22,24,3.8,ALGERIA,ALGERIA:  ORAN,35.616,-0.57,10,4.6,,1,,,
7749,2008,1,12,22,44,47.3,BANGLADESH,"INDIA-BANGLADESH:  RANGAMATI, BANGLADESH",22.761,92.333,34,5,,,,,
7750,2008,1,22,17,14,57.9,INDONESIA,INDONESIA:  SUMATRA:  NIAS ISLAND:  GUNUNGSITOLI,1.011,97.442,20,6.1,,1,5,,
7764,2008,2,3,7,34,12.1,CONGO,CONGO:  BUKAVU,-2.296,28.9,10,5.9,,38,717,,99
7765,2008,2,6,6,9,40.4,INDIA,INDIA:  WEST BENGAL,23.433,87.111,10,4.3,,1,50,,
7766,2008,2,9,7,12,5.8,MEXICO,MEXICO:  BAJA CALIFORNIA,32.456,-115.315,3,5.1,,,,,
7767,2008,2,13,20,55,31.5,IRAN,IRAN:  NASIRABAD,31.73,51.2,14,4.9,,,10,,
7768,2008,2,14,2,7,46.7,RWANDA,RWANDA:  GISENYI,-2.404,28.918,10,4.9,,1,109,,
7769,2008,2,15,10,36,19,LEBANON,LEBANON-SYRIA:  BAALBEC,33.327,35.305,10,5,,,10,,
7770,1962,5,28,22,57,47,GREECE,GREECE:  AEGEAN SEA,39.8,25,,4.5,5,,,,
