Id,Year,Month,Day,Hour,Minute,Second,Tsunami,Country,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Injuries,Damage ($Mil),Houses Destroyed
6600,1979,2,20,6,32,32.2,2110,JAPAN,"IWATE, JAPAN",40.232,143.703,10,6.4,,,,,
6601,1982,7,23,14,23,53.5,2136,JAPAN,"IBARAKI, JAPAN",36.194,141.702,37,6.8,,,,,
6602,1990,9,23,21,13,7.4,2196,JAPAN,"JAPAN:  W. OF BONIN ISLANDS, IZU IS.",33.267,138.643,10,6.5,,,,,
6604,1994,4,8,1,10,40.8,2226,JAPAN,JAPAN:  OFF EAST COAST OF HONSHU ISLAND,40.608,143.683,13,6.4,,,,,
6605,1994,10,9,7,55,39.5,2232,RUSSIA,RUSSIA:  KURIL ISLANDS,43.905,147.916,33,7.3,,,,,
6606,1995,11,1,0,35,32.7,2255,CHILE,CHILE:  NEAR CENTRAL COAST,-28.906,-71.417,20,6.7,,,,,
6607,1996,10,19,14,44,40.7,2268,JAPAN,JAPAN:  KYUSHU ISLAND,31.885,131.468,22,6.7,,,,,
6610,2003,10,31,1,6,28.2,2428,JAPAN,JAPAN:  EAST COAST HONSHU,37.812,142.619,10,7,,,,,
6611,2004,1,28,22,15,30.7,2434,INDONESIA,INDONESIA:  SERAM,-3.12,127.4,17,6.7,,,,,
6613,2001,12,18,4,2,58.2,2404,TAIWAN,TAIWAN,23.954,122.734,14,6.8,,,,,
6620,1989,11,1,10,25,52.2,2369,USA TERRITORY,PUERTO RICO: MONA PASSAGE,18.986,-68.833,26,4.4,,,,,
6630,1967,12,21,2,25,23,1994,CHILE,CHILE:  NORTHERN,-21.7,-69.5,33,7.5,,1,,,
6631,1987,2,6,13,16,17.8,2167,JAPAN,JAPAN:  EAST COAST HONSHU,36.988,141.689,48,6.3,,,,,
6640,2005,1,19,6,11,36.4,2466,JAPAN,JAPAN:  EAST COAST HONSHU,34.064,141.491,28,6.6,,,,,
6652,1984,6,13,2,29,25.3,2154,JAPAN,"JAPAN:  TORI SHIMA, OKINAWA",31.448,140.036,41,5.5,,,,,
