Id,Year,Month,Day,Hour,Minute,Second,Country,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Injuries,Damage ($Mil),Houses Destroyed
8795,2009,12,17,23,45,36.4,JAPAN,JAPAN:  HONSHU:  ITO,34.921,139.261,7,4.9,,,7,,
8812,2009,12,30,18,48,57.7,MEXICO,MEXICO:  MEXICALI,32.437,-115.165,9,5.9,,,,,
8813,2009,12,31,9,57,29.7,BHUTAN,BHUTAN:  DAMETSI,27.319,91.51,10,5.2,,,2,,
8832,1982,1,11,21,41,7.9,CANADA,"CANADA; MAINE:  CARIBOU, HAYNESVILLE, PRESQUE ISLE",46.975,-66.659,7,4.5,6,,,,
8852,1968,1,25,9,56,48.7,ITALY,ITALY:  SICILY,37.8,13.2,33,5.1,,8,55,,
8872,2010,2,27,6,34,11.5,CHILE,"CHILE:  MAULE, CONCEPCION, TALCAHUANO",-36.122,-72.898,23,8.8,9,402,12000,30000,
8892,2010,3,8,2,32,34.7,TURKEY,"TURKEY:  ELAZIG PROVINCE:  OKCULAR, YUKARI DEMIRCI",38.864,39.986,12,6.1,,51,100,,287
8912,2010,3,11,14,39,43.9,CHILE,CHILE:  RANCAGUA,-34.29,-71.891,11,6.9,,,,,
8932,2010,4,4,22,40,43.1,MEXICO,MEXICO:  BAJA CALIFORNIA,32.297,-115.278,4,7.2,,2,233,1150,
8952,2001,1,1,6,57,4.1,PHILIPPINES,PHILIPPINES:  MINDANAO,6.898,126.579,33,7.5,,,,,
8953,2002,8,19,11,1,1.1,FIJI,FIJI ISLANDS,-21.696,-179.513,580,7.7,,,,,
8954,2002,8,19,11,8,24.3,FIJI,FIJI ISLANDS,-23.884,178.495,675,7.7,,,,,
8955,2008,7,5,2,12,4.4,RUSSIA,RUSSIA:  SEA OF OKHOTSK,53.882,152.886,633,7.7,,,,,
8956,2006,1,27,16,58,53.6,INDONESIA,INDONESIA:  BANDA SEA,-5.473,128.131,397,7.6,,,,,
8957,2007,9,28,13,38,57.8,JAPAN,JAPAN:  VOLCANO ISLANDS,22.013,142.668,260,7.5,,,,,
8958,1990,12,30,19,14,18.9,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  NEW BRITAIN,-5.097,150.967,179,7.5,,,,,
8972,2010,4,13,23,49,38.3,CHINA,CHINA:  QINGHAI PROVINCE:  YUSHU,33.165,96.548,17,6.9,,2220,12135,500,15000
8973,2010,4,6,22,15,1.5,INDONESIA,INDONESIA:  SUMATRA,2.383,97.048,31,7.8,,,,,
8992,2010,1,10,0,25,4.2,INDONESIA,INDONESIA:  JAVA:  GARUT,-7.907,107.879,65,5.1,,1,2,,
8993,2010,1,15,18,0,46.7,VENEZUELA,VENEZUELA:  CARIACO,10.454,-63.475,8,5.5,,,11,,
8994,2010,1,16,20,23,37,IRAN,IRAN:  KHUZESTAN:  ARRJAN,32.45,48.3,5,5,,,,,
8995,2010,1,17,9,37,26.1,CHINA,CHINA:  GUIZHOU PROVINCE,25.558,105.804,27,4.4,,7,9,,
9012,2010,4,18,20,28,50.2,AFGHANISTAN,AFGHANISTAN:  SAMANGAN PROVINCE,35.633,67.658,13,5.6,,11,70,,2000
9032,2010,2,26,20,31,26.9,JAPAN,"JAPAN:  TORI SHIMA, OKINAWA",25.93,128.425,25,7,,,2,,
9033,2010,4,20,0,17,8,AUSTRALIA,AUSTRALIA:  KALGOORLIE,-30.794,121.406,0,5.2,,,3,,
9052,2010,2,25,4,56,51.9,CHINA,CHINA:  YUNNAN PROVINCE,25.523,101.903,36,4.8,,,11,,
9053,2010,2,27,15,45,37,ARGENTINA,ARGENTINA:  SALTA,-24.872,-65.602,10,6.3,,2,2,,
9092,2010,5,9,5,59,41.6,INDONESIA,INDONESIA:  N. SUMATRA: SIMEULUE ISLAND,3.748,96.018,38,7.2,,,,,
9112,2005,2,14,18,5,59.3,GUADELOUPE,GUADELOUPE,15.775,-61.744,12,5.8,,,,,
9132,2010,5,14,12,29,22.3,ALGERIA,ALGERIA:  NORTHERN:  BENI YELLMAN,35.9,4.12,2,5.2,,2,43,,
9152,2010,3,4,0,18,51.2,TAIWAN,TAIWAN:  KAO-HSIUNG,22.918,120.795,21,6.3,,,96,1000,
9172,2010,5,29,11,46,50.3,USA TERRITORY,"ANATAHAN REGION, N. MARIANA ISLANDS",16.591,145.682,10,4.4,,,,,
9252,2010,6,12,19,26,50.4,INDIA,INDIA:  LITTLE NICOBAR ISLAND,7.881,91.936,35,7.5,6,,,,
9292,2010,6,16,3,16,27.5,INDONESIA,INDONESIA: NEW GUINEA:  IRIAN JAYA: JAPEN,-2.174,136.543,18,7,6,17,,,2556
9372,2010,3,30,16,54,46.7,INDIA,INDIA: ANDAMAN ISLANDS:  DIGLIPUR,13.667,92.831,34,6.7,,,10,,
9373,2010,6,23,17,41,41,CANADA,"CANADA:  QUEBEC:  VAL-DES-BOIS, GRACEFIELD",45.88,-75.48,22,5.2,6,,,,
9412,2010,7,20,19,38,9.5,IRAN,IRAN:  FARSINAJ,27.022,53.861,10,5.8,,1,32,,
